Student_ID,Gender,Age,Marital_Status,Faculty,Academic_Level,Residence_Type,CGPA,Guardian_Employment_Status,Guardian_Monthly_Income,Other_Income,Loan_Amount_Requested,Loan_Term_Months,Guarantor_Availability,Loan_Status
UI/2020/1031,Female,23,Single,Science,400,Off Campus,2.06,Unemployed,15000,28500,192929.0,36.0,,Rejected
UI/2021/1032,Female,18,Single,Arts,300,School Hostel,4.01,Unemployed,23000,11500,175170.0,12.0,Yes,Rejected
UI/2022/1033,Male,21,Single,Science,300,School Hostel,3.4,Unemployed,33000,4000,176423.0,60.0,No,Rejected
UI/2023/1034,Male,22,Single,Agriculture and Forestry,300,Off Campus,3.6,Self-Employed,55000,0,236448.0,36.0,Yes,Rejected
UI/2024/1035,Female,21,Single,Science,200,School Hostel,3.39,Employed,129000,0,144973.0,24.0,No,Rejected
UI/2019/1036,Female,24,Single,Social Sciences,200,School Hostel,2.78,Employed,140000,24500,166503.0,48.0,Yes,Approved
UI/2020/1037,Male,21,Single,Arts,400,Off Campus,3.25,Employed,55000,8500,239119.0,48.0,No,Rejected
UI/2021/1038,Female,19,Single,Law,500,Off Campus,3.91,Employed,152000,0,253282.0,36.0,Yes,Approved
UI/2022/1039,Male,25,Single,Science,100,School Hostel,4.33,Employed,182000,0,106946.0,24.0,Yes,Approved
UI/2023/1040,Male,23,Single,Science,100,School Hostel,3.21,Unemployed,30000,9000,124627.0,12.0,Yes,Rejected
UI/2024/1041,Female,22,Single,Pharmacy,500,Off Campus,3.05,Unemployed,15000,0,262400.0,48.0,Yes,Approved
UI/2019/1042,Male,24,Single,Technology,400,School Hostel,4.35,Self-Employed,170000,7500,222930.0,48.0,Yes,Approved
UI/2020/1043,Male,24,Single,Law,300,Off Campus,3.06,Employed,63000,20500,187297.0,24.0,Yes,Rejected
UI/2021/1044,Male,22,Married,Agriculture and Forestry,400,Off Campus,4.69,Self-Employed,62000,44500,197471.0,24.0,,Approved
UI/2022/1045,Male,16,Single,Education,300,Off Campus,3.58,Self-Employed,81000,0,167754.0,36.0,Yes,Approved
UI/2023/1046,Male,20,Single,Arts,500,Off Campus,3.06,Employed,52000,0,264826.0,24.0,Yes,Rejected
UI/2024/1047,Male,20,Single,Clinical Sciences,200,School Hostel,,Employed,125000,0,147931.0,60.0,Yes,Approved
UI/2019/1048,Male,19,Single,Technology,200,School Hostel,4.48,Employed,106000,19500,126169.0,36.0,Yes,Approved
UI/2020/1049,Male,22,Single,Pharmacy,300,Off Campus,2.76,Employed,136000,0,175015.0,36.0,Yes,Approved
UI/2021/1050,Male,24,Single,Social Sciences,100,Off Campus,4.41,Self-Employed,105000,0,97993.0,36.0,Yes,Approved
UI/2022/1051,Male,20,Single,Clinical Sciences,400,School Hostel,3.4,Employed,45000,0,217566.0,12.0,No,Rejected
UI/2023/1052,Female,19,Single,Arts,200,Off Campus,4.37,Employed,64000,0,150120.0,12.0,Yes,Rejected
UI/2024/1053,Female,26,Single,Social Sciences,400,Off Campus,3.34,,112000,4000,221394.0,24.0,No,Rejected
UI/2019/1054,Male,20,,Social Sciences,400,Off Campus,2.68,Unemployed,19000,5500,222276.0,36.0,Yes,Rejected
UI/2020/1055,Female,19,Single,Science,200,School Hostel,3.83,,346000,0,118777.0,36.0,Yes,Approved
UI/2021/1056,Male,22,Single,Law,500,School Hostel,4.06,Self-Employed,67000,30500,244146.0,60.0,No,Rejected
UI/2022/1057,Male,22,Single,Social Sciences,300,School Hostel,4.7,Employed,50000,0,184584.0,48.0,No,Rejected
UI/2023/1058,Male,20,Single,Veterinary Medicine,400,School Hostel,4.5,Self-Employed,143000,0,196096.0,48.0,No,Approved
UI/2024/1059,Female,23,Single,Clinical Sciences,100,School Hostel,3.93,Self-Employed,115000,0,103804.0,24.0,Yes,Approved
UI/2019/1060,Male,20,Single,Clinical Sciences,100,Off Campus,3.42,Self-Employed,75000,0,89964.0,24.0,No,Rejected
UI/2020/1061,Female,19,Single,Agriculture and Forestry,400,Off Campus,3.26,Self-Employed,67000,0,207712.0,36.0,Yes,Rejected
UI/2021/1062,Male,22,Single,Agriculture and Forestry,500,School Hostel,3.39,Employed,88000,0,269416.0,24.0,No,Rejected
UI/2022/1063,Female,23,Single,Science,300,Off Campus,3.09,,110000,34000,169716.0,48.0,No,Rejected
UI/2023/1064,Female,20,Single,Technology,500,School Hostel,3.4,Employed,106000,0,247012.0,48.0,No,Rejected
UI/2024/1065,Female,22,Single,Science,100,Off Campus,2.15,Employed,59000,50500,89726.0,24.0,Yes,Approved
UI/2019/1066,Male,21,Single,Technology,500,Off Campus,3.65,Employed,88000,0,260622.0,48.0,Yes,Rejected
UI/2020/1067,Male,28,Single,Arts,400,Off Campus,3.53,Self-Employed,121000,9000,260640.0,12.0,Yes,Approved
UI/2021/1068,Male,20,Single,Veterinary Medicine,300,Off Campus,4.96,Employed,106000,24500,148225.0,24.0,Yes,Approved
UI/2022/1069,Female,25,Single,Science,200,Off Campus,3.97,Employed,15000,0,139458.0,60.0,Yes,Rejected
UI/2023/1070,Male,21,Single,Agriculture and Forestry,400,School Hostel,3.29,Self-Employed,47000,0,216148.0,36.0,,Rejected
UI/2024/1071,Male,21,,Social Sciences,200,School Hostel,3.86,Self-Employed,50000,0,153905.0,48.0,Yes,Approved
UI/2019/1072,Female,23,Single,Pharmacy,300,Off Campus,2.88,Unemployed,20000,0,174218.0,60.0,No,Rejected
UI/2020/1073,Male,24,Single,Agriculture and Forestry,400,School Hostel,3.22,Employed,77000,0,182945.0,24.0,Yes,Approved
UI/2021/1074,Male,24,Single,Science,300,School Hostel,2.52,Employed,115000,27000,199453.0,48.0,Yes,Approved
UI/2022/1075,Female,22,Single,Law,200,Off Campus,4.34,Self-Employed,107000,8500,123477.0,24.0,Yes,Approved
UI/2023/1076,Male,20,Single,Veterinary Medicine,100,School Hostel,3.88,Employed,65000,0,98809.0,12.0,Yes,Approved
UI/2024/1077,Male,20,Single,Pharmacy,100,School Hostel,2.9,Self-Employed,77000,0,79324.0,24.0,Yes,Rejected
UI/2019/1078,Male,23,Single,Clinical Sciences,400,Off Campus,3.52,Employed,183000,60000,203383.0,,Yes,Approved
UI/2020/1079,Male,23,Single,Science,100,School Hostel,4.07,Employed,50000,0,92291.0,36.0,,Rejected
UI/2021/1080,Male,25,Single,Science,100,School Hostel,3.82,Self-Employed,90000,7000,112450.0,36.0,No,Rejected
UI/2022/1081,Female,22,Single,Pharmacy,200,Off Campus,3.76,Self-Employed,180000,0,152229.0,48.0,Yes,Approved
UI/2023/1082,Female,24,Single,Clinical Sciences,300,School Hostel,3.08,Self-Employed,92000,8000,170761.0,24.0,,Approved
UI/2024/1083,Female,25,Single,Science,300,School Hostel,3.2,Self-Employed,25000,0,187140.0,48.0,Yes,Rejected
UI/2019/1084,,22,Single,Pharmacy,400,Off Campus,3.6,Self-Employed,94000,0,214108.0,24.0,Yes,Approved
UI/2020/1085,Male,18,Single,Agriculture and Forestry,400,School Hostel,4.06,Employed,56000,0,221321.0,24.0,No,Rejected
UI/2021/1086,Female,19,Single,Clinical Sciences,500,Off Campus,3.09,Employed,65000,0,261950.0,36.0,Yes,Rejected
UI/2022/1087,Female,18,Single,Social Sciences,500,Off Campus,2.93,Employed,124000,0,268879.0,24.0,Yes,Approved
UI/2023/1088,Female,25,Single,Technology,200,Off Campus,4.18,Self-Employed,99000,19500,130467.0,60.0,,Approved
UI/2024/1089,Female,20,Single,Science,100,School Hostel,3.04,Employed,60000,14000,97661.0,24.0,Yes,Approved
UI/2019/1090,Female,24,Single,Arts,500,School Hostel,4.14,Employed,113000,0,262870.0,24.0,Yes,Approved
UI/2020/1091,Male,23,Single,Pharmacy,100,Off Campus,3.68,Employed,88000,27000,100964.0,48.0,Yes,Approved
UI/2021/1092,Female,25,Single,Technology,300,Off Campus,4.03,Employed,74000,27000,167735.0,48.0,Yes,Approved
UI/2022/1093,Male,24,Single,Clinical Sciences,200,School Hostel,4.51,Employed,82000,10500,165268.0,24.0,Yes,Approved
UI/2023/1094,Male,21,Single,Social Sciences,400,School Hostel,3.93,Unemployed,27000,0,212736.0,24.0,No,Rejected
UI/2024/1095,Female,21,Single,Education,100,School Hostel,3.98,Unemployed,19000,0,110888.0,36.0,No,Rejected
UI/2019/1096,Female,22,Single,Arts,200,School Hostel,3.05,Employed,54000,19000,142635.0,12.0,Yes,Approved
UI/2020/1097,Male,22,Single,Social Sciences,100,Off Campus,3.17,Employed,70000,0,117798.0,24.0,No,Rejected
UI/2021/1098,Female,20,Single,Arts,400,Off Campus,3.9,Employed,41000,0,187043.0,48.0,Yes,Rejected
UI/2022/1099,Female,21,Single,Arts,300,Off Campus,4.39,Employed,35000,0,210153.0,48.0,Yes,Approved
UI/2023/1100,Male,25,Single,Veterinary Medicine,300,School Hostel,4.32,Employed,142000,0,,24.0,No,Rejected
UI/2024/1101,Male,18,Single,Agriculture and Forestry,200,School Hostel,,Employed,61000,0,121226.0,24.0,No,Approved
UI/2019/1102,Male,22,Single,Technology,100,School Hostel,3.72,Employed,69000,0,101502.0,24.0,Yes,Rejected
UI/2020/1103,Female,19,Single,Clinical Sciences,400,School Hostel,3.66,Employed,65000,0,253216.0,36.0,Yes,Rejected
UI/2021/1104,Female,22,Single,Pharmacy,400,School Hostel,4.1,Self-Employed,77000,0,227110.0,24.0,Yes,Approved
UI/2022/1105,Female,23,Single,Social Sciences,400,Off Campus,3.56,Employed,70000,0,201217.0,60.0,No,Rejected
UI/2023/1106,Male,21,Single,Clinical Sciences,500,School Hostel,3.52,Unemployed,24000,0,252669.0,24.0,Yes,Rejected
UI/2024/1107,Female,23,Single,Agriculture and Forestry,300,School Hostel,2.97,Self-Employed,49000,0,199468.0,36.0,No,Rejected
UI/2019/1108,Female,18,Single,Social Sciences,100,Off Campus,4.1,Employed,116000,0,78640.0,36.0,,Approved
UI/2020/1109,Male,24,Single,Clinical Sciences,300,Off Campus,2.96,Self-Employed,52000,0,176873.0,60.0,Yes,Rejected
UI/2021/1110,Male,20,Single,Education,200,Off Campus,3.83,Unemployed,41000,0,135170.0,36.0,Yes,Rejected
UI/2022/1111,Male,23,Single,Pharmacy,300,Off Campus,2.77,Employed,24000,7000,211854.0,48.0,No,Rejected
UI/2023/1112,Female,22,Single,Science,200,School Hostel,4.15,Self-Employed,42000,16000,135205.0,36.0,,Approved
UI/2024/1113,Female,16,Single,Veterinary Medicine,300,School Hostel,2.98,Employed,120000,0,199132.0,24.0,Yes,Rejected
UI/2019/1114,Male,20,Single,Arts,500,School Hostel,4.01,Employed,64000,0,249453.0,36.0,,Approved
UI/2020/1115,Male,22,Single,Education,400,Off Campus,2.68,Employed,48000,0,207575.0,,Yes,Rejected
UI/2021/1116,Male,25,Single,Law,200,Off Campus,3.31,Employed,85000,0,154515.0,36.0,Yes,Approved
UI/2022/1117,Male,22,Married,Science,400,Off Campus,4.2,Self-Employed,43000,0,228827.0,48.0,Yes,Approved
UI/2023/1118,Female,22,Single,Technology,400,Off Campus,3.11,Employed,72000,0,193791.0,36.0,No,Rejected
UI/2024/1119,Male,18,Single,Law,400,Off Campus,3.59,Employed,21000,0,229079.0,24.0,Yes,Rejected
UI/2019/1120,Male,25,Single,Arts,300,Off Campus,3.29,Unemployed,18000,0,189124.0,36.0,Yes,Rejected
UI/2020/1121,Male,26,Single,Agriculture and Forestry,500,School Hostel,2.28,Employed,49000,0,250394.0,36.0,Yes,Rejected
UI/2021/1122,,22,Single,Education,300,School Hostel,3.72,Employed,93000,0,182821.0,12.0,Yes,Approved
UI/2022/1123,Female,21,Single,Clinical Sciences,100,School Hostel,3.79,Unemployed,37000,0,103549.0,24.0,Yes,Rejected
UI/2023/1124,Male,18,Single,Education,200,Off Campus,2.94,Self-Employed,48000,17000,132292.0,36.0,Yes,Rejected
UI/2024/1125,Male,24,Married,Science,300,Off Campus,3.87,Self-Employed,184000,0,170819.0,36.0,Yes,Approved
UI/2019/1126,Male,28,Single,Science,200,Off Campus,3.11,Employed,50000,0,129532.0,36.0,Yes,Rejected
UI/2020/1127,Female,23,Single,Social Sciences,200,Off Campus,3.0,Self-Employed,25000,0,135482.0,48.0,No,Approved
UI/2021/1128,Female,24,Single,Science,200,Off Campus,3.55,,19000,0,119722.0,36.0,No,Rejected
UI/2022/1129,Male,23,Single,Social Sciences,100,Off Campus,3.18,Self-Employed,177000,0,98890.0,24.0,No,Approved
UI/2023/1130,Female,19,Single,Veterinary Medicine,100,Off Campus,4.81,Employed,66000,0,77251.0,24.0,Yes,Approved
UI/2024/1131,Male,25,Single,Clinical Sciences,100,School Hostel,2.69,Employed,49000,0,100634.0,48.0,No,Rejected
UI/2019/1132,Female,19,Single,Social Sciences,300,Off Campus,3.96,,50000,9500,178256.0,60.0,Yes,Rejected
UI/2020/1133,Male,21,Single,Social Sciences,200,School Hostel,4.09,Self-Employed,42000,0,124086.0,48.0,No,Approved
UI/2021/1134,Female,22,Single,Veterinary Medicine,200,Off Campus,2.46,Unemployed,49000,0,152212.0,24.0,Yes,Rejected
UI/2022/1135,Male,24,Married,Technology,500,Off Campus,2.6,Employed,66000,0,288357.0,36.0,No,Rejected
UI/2023/1136,Male,22,Single,Veterinary Medicine,300,School Hostel,3.86,Employed,186000,0,,36.0,Yes,Approved
UI/2024/1137,Female,22,Single,Clinical Sciences,400,Off Campus,3.29,Employed,62000,15500,,60.0,No,Rejected
UI/2019/1138,Male,20,Single,Clinical Sciences,400,Off Campus,3.76,Employed,19000,0,238473.0,12.0,Yes,Rejected
UI/2020/1139,Male,19,Single,Pharmacy,500,School Hostel,4.18,Employed,111000,0,262761.0,48.0,No,Rejected
UI/2021/1140,Male,22,Single,Education,100,Off Campus,3.35,Employed,57000,0,98717.0,36.0,Yes,Rejected
UI/2022/1141,Male,20,Single,Clinical Sciences,200,Off Campus,2.96,Employed,61000,0,130633.0,48.0,No,Rejected
UI/2023/1142,Male,18,Single,Technology,500,Off Campus,2.05,Employed,165000,0,259399.0,36.0,Yes,Approved
UI/2024/1143,Male,19,Single,Pharmacy,200,Off Campus,3.66,Self-Employed,66000,0,,12.0,Yes,Approved
UI/2019/1144,Male,20,Single,Technology,500,Off Campus,3.04,Employed,132000,0,267603.0,36.0,No,Rejected
UI/2020/1145,Male,17,Single,Pharmacy,100,School Hostel,3.72,Self-Employed,76000,6500,,36.0,Yes,Approved
UI/2021/1146,Male,18,Single,Arts,100,Off Campus,3.68,Employed,46000,18500,89521.0,24.0,No,Approved
UI/2022/1147,Female,18,Single,Technology,500,Off Campus,2.79,Employed,92000,0,253298.0,24.0,Yes,Approved
UI/2023/1148,Male,22,Married,Clinical Sciences,200,School Hostel,4.5,Unemployed,17000,6500,148226.0,24.0,Yes,Rejected
UI/2024/1149,Male,22,Single,Veterinary Medicine,300,School Hostel,4.15,Employed,137000,0,207280.0,36.0,Yes,Approved
UI/2019/1150,Male,26,Single,Science,500,School Hostel,4.02,Employed,118000,21000,243746.0,36.0,Yes,Approved
UI/2020/1151,Female,18,Single,Law,100,School Hostel,2.9,Employed,72000,0,99461.0,12.0,Yes,Approved
UI/2021/1152,Male,20,Single,Agriculture and Forestry,500,School Hostel,3.33,Employed,97000,0,253757.0,24.0,No,Approved
UI/2022/1153,Male,24,Single,Education,200,Off Campus,3.25,Employed,95000,0,128282.0,36.0,Yes,Approved
UI/2023/1154,Female,21,Single,Agriculture and Forestry,200,Off Campus,3.32,Self-Employed,65000,18000,145412.0,36.0,No,Rejected
UI/2024/1155,Male,21,Single,Veterinary Medicine,100,Off Campus,2.93,Self-Employed,125000,0,107692.0,48.0,Yes,Approved
UI/2019/1156,Female,25,Single,Social Sciences,300,Off Campus,3.79,Employed,61000,0,158395.0,36.0,Yes,Approved
UI/2020/1157,Female,21,Single,Social Sciences,200,Off Campus,3.68,Self-Employed,107000,0,124076.0,24.0,Yes,Approved
UI/2021/1158,Male,19,Single,Science,500,Off Campus,3.75,Employed,41000,11500,277262.0,48.0,Yes,Rejected
UI/2022/1159,Female,18,Single,Arts,100,Off Campus,3.27,Self-Employed,80000,8000,104207.0,24.0,Yes,Approved
UI/2023/1160,Male,22,Single,Science,100,School Hostel,4.26,Employed,87000,0,107248.0,12.0,,Rejected
UI/2024/1161,,22,Single,Pharmacy,100,Off Campus,3.65,Employed,45000,0,92029.0,24.0,No,Rejected
UI/2019/1162,Male,18,Single,Law,300,School Hostel,2.04,Self-Employed,61000,0,173829.0,36.0,Yes,Rejected
UI/2020/1163,Female,19,Single,Arts,400,School Hostel,3.2,Employed,52000,0,226309.0,24.0,Yes,Rejected
UI/2021/1164,Female,23,Single,Clinical Sciences,300,Off Campus,3.52,Self-Employed,114000,0,172093.0,60.0,No,Rejected
UI/2022/1165,Male,23,Single,Technology,300,Off Campus,4.08,Unemployed,16000,0,162984.0,24.0,No,Rejected
UI/2023/1166,Female,20,Single,Clinical Sciences,300,Off Campus,3.38,,89000,0,179490.0,24.0,No,Rejected
UI/2024/1167,Male,23,Single,Agriculture and Forestry,100,School Hostel,3.41,Self-Employed,176000,11000,112944.0,36.0,No,Rejected
UI/2019/1168,Male,23,Single,Social Sciences,200,Off Campus,3.19,Employed,85000,7000,124165.0,24.0,Yes,Approved
UI/2020/1169,Female,17,Single,Veterinary Medicine,500,Off Campus,3.92,Unemployed,15000,14500,275200.0,24.0,Yes,Rejected
UI/2021/1170,Female,21,Single,Technology,200,Off Campus,3.3,Employed,75000,11000,149918.0,36.0,Yes,Approved
UI/2022/1171,Male,22,Single,Agriculture and Forestry,500,Off Campus,3.22,Employed,124000,10000,246659.0,24.0,Yes,Approved
UI/2023/1172,Female,20,Single,Agriculture and Forestry,300,School Hostel,3.14,Employed,60000,0,179596.0,36.0,Yes,Rejected
UI/2024/1173,Male,17,Single,Science,100,School Hostel,3.86,Employed,128000,0,98865.0,24.0,Yes,Approved
UI/2019/1174,Male,21,Single,Arts,100,Off Campus,3.26,Employed,98000,0,108904.0,36.0,No,Approved
UI/2020/1175,Male,23,Single,Technology,100,Off Campus,2.63,Unemployed,29000,0,109390.0,24.0,Yes,Rejected
UI/2021/1176,Female,25,Single,Education,200,Off Campus,3.89,Self-Employed,66000,20000,120131.0,36.0,Yes,Approved
UI/2022/1177,Male,16,Single,Law,200,School Hostel,3.16,Self-Employed,58000,0,119459.0,60.0,Yes,Approved
UI/2023/1178,Female,28,Single,Education,200,School Hostel,3.75,Self-Employed,66000,0,154781.0,48.0,Yes,Approved
UI/2024/1179,Female,19,Married,Arts,300,Off Campus,3.76,Employed,72000,0,181169.0,60.0,Yes,Approved
UI/2019/1180,Male,24,Single,Pharmacy,300,School Hostel,4.21,Unemployed,31000,8500,185686.0,36.0,Yes,Rejected
UI/2020/1181,Female,24,Single,Law,100,Off Campus,4.12,Self-Employed,96000,0,104449.0,24.0,Yes,Approved
UI/2021/1182,Male,24,Single,Pharmacy,200,School Hostel,3.23,Employed,59000,0,162239.0,24.0,No,Rejected
UI/2022/1183,Female,22,Single,Clinical Sciences,500,Off Campus,3.46,Employed,72000,0,241563.0,48.0,Yes,Rejected
UI/2023/1184,,19,Single,Pharmacy,100,Off Campus,2.84,Employed,86000,31500,115670.0,24.0,Yes,Approved
UI/2024/1185,Female,23,Single,Arts,400,School Hostel,4.47,Employed,29000,0,207331.0,,Yes,Rejected
UI/2019/1186,Female,20,Single,Arts,300,Off Campus,,Employed,46000,0,190295.0,24.0,No,Rejected
UI/2020/1187,Male,16,Single,Arts,400,Off Campus,4.32,Employed,45000,4500,239399.0,48.0,Yes,Rejected
UI/2021/1188,Female,28,Married,Science,200,Off Campus,3.37,Unemployed,21000,0,118958.0,24.0,No,Rejected
UI/2022/1189,Male,23,Single,Science,200,Off Campus,2.42,Employed,60000,0,145471.0,24.0,No,Rejected
UI/2023/1190,Female,26,Single,Science,300,Off Campus,4.39,Self-Employed,66000,9000,175372.0,24.0,Yes,Rejected
UI/2024/1191,Female,19,Single,Clinical Sciences,500,School Hostel,3.6,Employed,43000,0,255177.0,,Yes,Rejected
UI/2019/1192,Female,25,Single,Arts,200,Off Campus,3.62,Self-Employed,111000,4000,140122.0,60.0,No,Approved
UI/2020/1193,Male,25,Single,Clinical Sciences,100,School Hostel,3.58,,89000,0,83880.0,36.0,Yes,Approved
UI/2021/1194,Male,25,Single,Science,100,School Hostel,3.9,Employed,28000,8500,85188.0,48.0,No,Rejected
UI/2022/1195,Female,21,Single,Agriculture and Forestry,500,Off Campus,3.84,Unemployed,24000,4500,269248.0,36.0,Yes,Rejected
UI/2023/1196,,19,Single,Arts,200,School Hostel,2.68,Employed,38000,0,152030.0,12.0,Yes,Rejected
UI/2024/1197,Male,21,Single,Social Sciences,100,Off Campus,4.15,Employed,179000,0,91065.0,36.0,Yes,Rejected
UI/2019/1198,Female,16,Single,Veterinary Medicine,300,Off Campus,3.26,Self-Employed,60000,0,157897.0,36.0,Yes,Rejected
UI/2020/1199,Male,18,Single,Clinical Sciences,400,Off Campus,3.29,Employed,56000,0,253847.0,36.0,Yes,Rejected
UI/2021/1200,Male,22,Single,Law,300,Off Campus,4.5,Self-Employed,80000,8500,195796.0,24.0,No,Approved
UI/2022/1201,Female,19,Single,Agriculture and Forestry,100,Off Campus,4.06,Employed,63000,44000,104823.0,24.0,Yes,Approved
UI/2023/1202,Male,21,Single,Agriculture and Forestry,200,School Hostel,3.36,Employed,68000,0,124213.0,24.0,No,Rejected
UI/2024/1203,Male,21,Single,Science,200,School Hostel,2.53,Self-Employed,180000,6000,130851.0,12.0,Yes,Rejected
UI/2019/1204,Male,26,Single,Clinical Sciences,100,Off Campus,3.64,Self-Employed,87000,0,103086.0,24.0,Yes,Approved
UI/2020/1205,Male,24,Single,Arts,500,School Hostel,3.85,Unemployed,37000,8500,245253.0,24.0,No,Rejected
UI/2021/1206,Male,21,Single,Law,200,School Hostel,3.51,Employed,130000,0,163246.0,36.0,No,Rejected
UI/2022/1207,Male,24,Single,Veterinary Medicine,100,Off Campus,2.86,Self-Employed,45000,4500,101516.0,48.0,Yes,Rejected
UI/2023/1208,Female,20,Single,Law,500,School Hostel,,Employed,178000,8500,,36.0,No,Rejected
UI/2024/1209,Female,21,Single,Arts,500,Off Campus,2.86,Self-Employed,112000,17000,244241.0,36.0,,Approved
UI/2019/1210,Female,24,Single,Social Sciences,400,Off Campus,3.67,Employed,119000,0,206044.0,36.0,,Approved
UI/2020/1211,Female,19,Single,Social Sciences,200,School Hostel,4.0,Self-Employed,48000,0,127810.0,36.0,Yes,Approved
UI/2021/1212,Male,21,Single,Arts,100,School Hostel,4.11,Self-Employed,120000,0,103581.0,12.0,No,Approved
UI/2022/1213,Male,18,Single,Agriculture and Forestry,300,Off Campus,3.15,Employed,88000,67500,175558.0,36.0,Yes,Rejected
UI/2023/1214,Male,22,Single,Education,300,School Hostel,3.68,Employed,52000,10500,175211.0,36.0,Yes,Approved
UI/2024/1215,Male,25,Single,Social Sciences,400,Off Campus,3.85,,246000,0,224155.0,36.0,Yes,Approved
UI/2019/1216,Female,20,Single,Pharmacy,500,Off Campus,3.27,,32000,0,262823.0,48.0,Yes,Rejected
UI/2020/1217,Male,22,Single,Education,500,School Hostel,3.47,Employed,62000,0,281442.0,48.0,Yes,Rejected
UI/2021/1218,Male,19,Single,Arts,200,Off Campus,4.72,Self-Employed,86000,0,136577.0,48.0,No,Approved
UI/2022/1219,Female,19,Single,Education,300,Off Campus,3.66,Unemployed,39000,10500,164505.0,12.0,No,Rejected
UI/2023/1220,Male,19,Single,Pharmacy,100,School Hostel,4.04,Employed,131000,0,99316.0,60.0,Yes,Approved
UI/2024/1221,Male,25,Single,Science,300,School Hostel,3.31,Unemployed,32000,6500,201131.0,36.0,Yes,Rejected
